I,Q
-5,-26
-7,-57
-16,-35
30,-80
16,162
184,238
260,127
148,-35
-174,-402
41,-551
-367,-311
-562,518
-354,1466
437,2049
1981,1663
3759,-267
5904,-3169
7876,-5684
9248,-6620
9989,-5413
9987,-2306
9478,1836
8237,5309
5972,7190
2433,7388
-2755,6521
-8210,5428
-13564,4693
-17407,4600
-18814,4941
-17981,5666
-14959,5641
-10512,4325
-6022,870
-2541,-4568
-772,-10035
-1423,-13947
-3346,-14959
-6141,-12634
-8732,-7910
-10003,-2595
-9535,909
-7420,1806
-4172,892
-320,-468
2938,-679
4926,746
3895,3987
322,7519
-5279,10061
-10804,10556
-13859,9115
-13650,6320
-10148,3250
-5155,987
-1435,985
-248,3413
-2417,7978
-5667,12074
-8044,13617
-8410,11105
-7007,4553
-5108,-4130
-3731,-11863
-3287,-15965
-3169,-15099
-2354,-10481
-233,-4101
2474,1714
5103,5471
6266,6613
6067,5901
4229,4191
1508,2143
-1841,472
-5126,-639
-6819,-1028
-6167,-1521
-3480,-2054
1053,-3315
5217,-5018
8175,-6320
9175,-6473
8920,-5066
8163,-2485
7229,-277
6465,416
5681,-1277
3781,-5050
1106,-9510
-2257,-12377
-5570,-12676
-7286,-9915
-7340,-4282
-5981,2057
-3724,7709
-1476,10486
-222,9548
195,5198
-65,-816
-408,-5787
428,-7872
2071,-6402
4076,-2463
5135,2045
3957,5482
905,7164
-2890,6836
-6023,4933
-7383,1505
-6497,-2825
-4414,-7542
-2884,-12079
-3315,-15661
-5934,-17645
-8821,-17681
-10727,-16690
-9197,-14624
-4274,-12645
2789,-11005
8107,-9385
9704,-8269
7206,-7832
2106,-9096
-2429,-11231
-3713,-13911
-1634,-16035
2594,-17067
6219,-16371
7836,-13980
7305,-10058
5275,-5067
3405,361
2863,4755
3119,6704
3979,5261
4860,349
5521,-6007
5980,-11233
6107,-13100
4914,-11002
2157,-5429
-2118,1663
-7045,7522
-10988,10332
-12535,10643
-11182,8675
-7902,5620
-3873,1979
-536,-1681
1415,-4687
1193,-6566
184,-6905
-704,-5536
-1256,-2837
-882,164
-251,2556
-50,3521
-994,2208
-2435,-328
-3909,-2984
-4641,-4905
-4069,-4979
-2729,-2726
-1097,1123
148,5727
908,9772
1338,11820
2118,11393
3118,8449
3940,4403
4307,1211
3660,-476
1968,183
265,1428
-510,2920
637,3597
3497,3401
7666,3132
11582,3311
13760,3836
12674,3854
8796,2856
2466,278
-4137,-2732
-8548,-5420
-9475,-6855
-7078,-7021
-1986,-7122
4429,-8018
10544,-10258
15114,-13683
17009,-16518
15936,-17940
12508,-16958
7229,-12821
2279,-6611
-716,504
-1132,6144
-260,9096
571,8801
-419,6333
-2987,3009
-5900,746
-7816,698
-7714,2873
-5679,6008
-3172,7894
-1499,7579
-1593,4622
-3157,138
-4810,-4290
-4822,-7230
-3044,-8870
1021,-9382
4371,-9653
6133,-10136
4937,-10873
1584,-11887
-1445,-12737
-1881,-13344
2349,-13319
10076,-12756
18790,-10812
24878,-8119
26532,-5517
23551,-4226
17146,-4007
9233,-4410
2176,-4810
-2250,-4838
-3349,-3778
-1977,-1700
42,626
1424,2477
1052,3493
-590,3524
-2595,3034
-4241,1853
-4851,616
-4763,-985
-4459,-2244
-4657,-2326
-4841,-907
-4373,1957
-2609,5253
312,7540
3394,8381
4984,7953
4551,6413
1717,4514
-1904,2541
-4426,-163
-4931,-4037
-3078,-8657
-265,-12586
1419,-13877
1477,-11146
-634,-4482
-3235,4177
-5390,11484
-5398,14992
-2814,13499
1873,7560
6802,-538
10347,-8526
11381,-14460
10127,-17704
6992,-18284
3998,-17008
2685,-14289
2564,-10434
2986,-5799
1582,-1306
-2363,2469
-8614,4740
-15275,4957
-19382,3829
-19844,2360
-16701,1508
-11685,2082
-6164,4223
-1788,6864
651,8924
1762,8701
1975,5421
2289,90
1711,-6399
983,-11246
-349,-13564
-1862,-12594
-3361,-8921
-3080,-3986
-1558,317
1330,3098
4420,4106
6790,3403
7223,2361
6035,1344
3334,232
691,-1183
-1434,-3072
-2718,-6097
-3158,-9007
-3504,-11283
-3694,-10893
-3790,-7975
-2498,-2620
-173,3811
2523,8592
5472,9671
7010,6520
6942,586
5454,-5741
3249,-9302
1272,-8632
763,-4026
1932,2270
3806,7627
5459,10041
5833,8856
4818,5924
2986,2625
1851,1130
2408,1479
5285,3667
8972,4993
12583,4345
14163,1226
13400,-3607
10400,-8127
6518,-10797
3220,-11332
1602,-10492
1478,-9864
2033,-10036
2397,-10964
2023,-10776
1565,-9000
1809,-5350
3378,-977
5542,2146
7203,3374
7323,1799
5586,-1230
2639,-5074
-465,-8984
-2219,-12841
-2585,-16287
-2136,-18221
-1821,-17637
-2396,-14072
-3603,-8104
-4393,-1412
-4426,3418
-3176,5364
-1886,4412
-1561,2341
-3542,169
-7501,-1594
-11998,-3225
-14961,-4926
-14296,-7176
-9776,-9152
-2435,-9246
5323,-7564
9852,-3943
10172,711
6166,5171
255,8800
-5135,10916
-7813,10871
-7122,8019
-3239,2488
1811,-4543
6361,-9948
9306,-11068
9932,-6817
8732,1750
5802,10926
1816,16792
-1754,16938
-3988,12582
-3874,5777
-1273,-109
3323,-2533
8600,-1040
13334,3574
15957,8964
16541,13534
15556,16295
13643,16761
10154,15169
4804,11730
-2565,7185
-10962,2172
-16900,-1792
-18673,-3947
-15250,-4897
-7870,-4544
1686,-4273
8667,-4491
11157,-4760
9171,-4624
4740,-3712
735,-2031
-1299,-617
-460,-179
1687,-1201
3742,-2814
4739,-3360
3757,-1605
1881,2002
-354,5682
-2538,6797
-3726,3839
-4936,-3109
-4916,-11993
-4078,-19499
-2617,-22887
-1297,-21091
-237,-15759
477,-7918
286,155
-777,5887
-2154,8570
-3425,8117
-3620,5545
-2564,1840
328,-2067
4142,-4868
8519,-6966
12434,-7562
15391,-7141
17129,-6519
17748,-5844
17196,-5121
15994,-3633
14686,-539
13212,4417
10748,10532
6140,15740
-757,17803
-8477,16248
-14512,11035
-16899,5040
-13743,15
-6452,-1939
2422,-1031
8433,1560
9878,3953
6349,4232
87,2578
-6469,481
-10772,-1465
-12186,-2198
-11590,-1551
-10030,-545
-8154,188
-6583,-346
-5925,-1293
-5965,-2521
-6157,-3266
-6262,-2795
-5358,-1801
-3585,565
-2061,3491
-1491,6902
-2633,9601
-5803,10515
-8770,9275
-10447,5633
-9982,786
-7148,-3993
-3636,-7228
-565,-7756
1180,-6021
1789,-2994
2175,49
2989,2306
3660,3358
3392,3437
647,3029
-4205,2311
-9961,1752
-14080,1512
-14737,1578
-11269,1895
-3903,1600
5423,674
13839,-1476
19801,-3206
21733,-4467
19633,-4861
13770,-3363
5388,-840
-4182,1707
-12614,2686
-17563,1629
-18410,-195
-15294,-739
-9309,900
-1904,4362
4907,8620
9716,11375
11763,11077
12082,8047
10356,2535
7308,-3220
2835,-7667
-1809,-10201
-5391,-10173
-7121,-8601
-6440,-5830
-3419,-1746
427,2983
3034,7699
2625,11869
-365,14829
-4833,15650
-8724,14349
-10460,11489
-9817,7818
-7903,3919
-5776,892
-4431,-1216
-3928,-2610
-3949,-3654
-3569,-4185
-2720,-4123
-1724,-3483
-897,-2115
-565,-1334
-637,-2018
-694,-3955
-1653,-6707
-3261,-8854
-5948,-8726
-9382,-6131
-12488,-1800
-14101,3074
-13675,6530
-11191,8317
-8105,7752
-6030,5680
-6098,2887
-7846,-37
-10546,-2243
-12089,-3197
-11660,-3051
-9569,-2388
-5949,-2490
-1875,-4532
1294,-8812
3410,-14649
3836,-20621
2536,-24301
150,-24678
-2945,-20202
-5677,-11825
-6929,-960
-6714,8572
-5224,13753
-2536,13219
404,7443
3487,-793
5765,-8285
6601,-12096
5208,-10928
1756,-5751
-2344,1780
-5384,8645
-5903,12984
-2712,13314
3659,10754
10670,6364
15592,2400
16052,-342
10892,-1718
1328,-1965
-9998,-1763
-18119,-1937
-20678,-1653
-17517,-696
-9488,878
-69,2362
6638,2946
8429,2153
5698,-311
639,-3362
-4303,-6165
-7091,-7212
-6656,-5810
-3445,-2312
1326,2554
6292,6976
10390,9475
12470,9647
12221,8009
9699,5370
5082,2705
-273,221
-4611,-2141
-6490,-5314
-5292,-8916
-1880,-12012
2102,-13503
4998,-12385
5473,-9021
3494,-4040
-135,960
-4280,5140
-7142,7448
-7430,8471
-4237,8306
1502,6521
7960,3184
12743,-912
14026,-4719
11468,-7180
5922,-6645
-357,-3307
-5110,1829
-6702,6554
-5108,9554
-1313,9871
3101,7742
6822,4937
9218,2309
10072,821
9217,808
7072,2411
4699,5361
3006,9225
3676,12963
6786,15927
10871,18043
13774,18162
14181,16242
11223,11722
5891,5041
556,-2504
-2456,-8852
-2390,-12414
-539,-12270
1109,-9441
1276,-5334
-1038,-2393
-4787,-1084
-8355,-1606
-10941,-2681
-11721,-2448
-10548,-1590
-7951,-444
-4555,-296
-1759,-1046
-1188,-2553
-3473,-2705
-8205,-966
-13624,2439
-16654,6638
-15533,9283
-9822,9620
-1503,6799
6815,2558
12275,-1948
13899,-4120
12699,-4336
10339,-2702
7773,-751
5744,46
4043,-962
2338,-2710
-96,-4672
-3008,-5769
-5631,-5068
-7201,-3556
-7806,-1084
-6951,1346
-5514,2710
-3616,2833
-1283,1335
605,-1167
1230,-3339
71,-4264
-3373,-3047
-8288,-320
-13391,2196
-16272,3070
-14930,1781
-9233,-640
-742,-3331
7977,-4389
13049,-3661
13231,-2837
8944,-3361
2401,-6352
-3433,-11145
-6338,-14982
-6029,-15876
-3700,-12491
-473,-5789
2272,1434
4098,5942
4529,5897
4423,1071
3917,-5076
3341,-10250
2297,-11739
1055,-9654
-74,-5447
-338,-2452
7,-2078
606,-4965
681,-9589
-1058,-12926
-4078,-13559
-8045,-11549
-11289,-8310
-12051,-6108
-9903,-6479
-5580,-9203
-830,-11986
2621,-12903
3925,-10377
3142,-4952
1851,464
1551,3861
2475,3795
4241,1130
5739,-2626
5879,-4817
3566,-4493
-529,-1848
-5605,1330
-9311,3753
-10640,3740
-9053,1920
-5579,-1199
-1601,-4363
1248,-6260
1859,-6060
429,-3990
-2727,-738
-6346,2770
-8891,5324
-10016,6261
-8466,5521
-3890,3708
2771,956
9507,-1446
14183,-3371
14550,-4980
10473,-5883
3105,-6038
-4620,-6118
-9618,-5642
-10426,-4373
-7774,-2565
-4054,-34
-1861,2812
-3199,4875
-8031,4990
-14097,2363
-18802,-2766
-19293,-8132
-15229,-12328
-7813,-13109
1164,-10266
8288,-4082
11276,4111
9686,12176
5582,18435
1531,22053
380,22280
2356,19730
6075,14389
9485,7347
10729,-251
10193,-7095
8401,-12146
7500,-15101
7819,-16077
9314,-15184
11291,-12147
12051,-6881
10914,386
7447,8103
2665,14058
-1837,16066
-5179,13075
-6536,5834
-6412,-3348
-4899,-11261
-3326,-14763
-1488,-13000
1003,-6780
3993,1355
7535,8452
10056,11763
10889,11201
9407,8188
6022,4210
1420,1887
-2779,1743
-5697,2974
-7212,4371
-6952,3941
-5642,1455
-3290,-3046
-228,-7820
2929,-11732
5748,-13759
6854,-13865
6104,-12018
3661,-9551
269,-6963
-2601,-5704
-4279,-5371
-4558,-5477
-3784,-5645
-2366,-4878
-1315,-3261
-407,-2134
602,-1925
