I,Q
-9,-11
-13,-8
-23,2
-42,21
-27,70
27,102
85,38
127,-134
99,-348
-73,-446
-313,-192
-446,475
-243,1345
516,1830
1841,1287
3544,-479
5341,-3055
6890,-5321
7999,-6192
8615,-5012
8719,-2094
8334,1523
7259,4560
5208,6219
1935,6424
-2470,5720
-7447,4859
-12144,4435
-15550,4630
-16898,5264
-15896,5835
-12923,5629
-8842,4018
-4812,627
-1972,-4159
-938,-9159
-1717,-12657
-3705,-13263
-6094,-10734
-8032,-6198
-8859,-1597
-8290,1320
-6354,1913
-3394,819
-39,-495
2860,-678
4306,849
3441,3702
124,6798
-4806,9077
-9621,9669
-12307,8466
-11773,5909
-8418,2980
-4071,928
-926,881
-347,3260
-2171,7306
-4878,11101
-6768,12470
-6927,9940
-5754,3770
-4326,-4090
-3577,-10883
-3515,-14184
-3368,-13214
-2341,-8846
-231,-3085
2379,1944
4629,4941
5763,5744
5455,4918
3824,3278
1168,1576
-1894,258
-4634,-510
-6044,-827
-5409,-1071
-2737,-1707
1122,-3001
4807,-4652
7246,-5889
8020,-5977
7606,-4570
6806,-2233
6169,-193
5659,292
4796,-1414
3098,-4834
445,-8598
-2657,-11129
-5370,-11129
-6828,-8305
-6683,-3289
-5135,2514
-2857,7316
-809,9490
310,8294
372,4202
-190,-1076
-514,-5375
102,-7010
1702,-5574
3522,-2057
4404,1932
3435,4988
730,6357
-2712,5971
-5447,4149
-6418,1248
-5560,-2528
-3857,-6791
-2814,-10940
-3587,-14124
-6133,-15730
-9113,-15619
-10483,-14335
-8669,-12571
-3759,-10906
2452,-9487
7232,-8281
8454,-7372
5823,-7226
1163,-8129
-2765,-10044
-3869,-12447
-1779,-14449
2024,-15343
5324,-14747
6635,-12558
5895,-8903
4153,-4182
2776,700
2412,4507
2930,5994
3711,4299
4364,-168
4801,-5843
5024,-10426
4902,-11935
3868,-9661
1411,-4367
-2293,1895
-6432,7081
-9623,9828
-10775,9898
-9497,7981
-6472,4968
-2984,1559
-213,-1674
1101,-4338
979,-5948
42,-6082
-870,-4655
-1198,-2189
-787,501
-173,2468
-48,2981
-756,1887
-2175,-368
-3593,-2756
-4257,-4299
-3781,-4211
-2420,-2209
-841,1294
375,5398
1117,8877
1588,10544
2217,9856
3058,7123
3755,3569
3862,708
3067,-513
1548,-12
77,1402
-468,2664
615,3160
3354,2919
7145,2583
10656,2586
12425,2887
11407,2931
7491,2029
1705,-9
-4041,-2618
-7882,-4769
-8643,-5878
-6219,-6034
-1521,-6091
4149,-7113
9472,-9606
13279,-13095
14799,-16215
13652,-17467
10151,-15882
5527,-11484
1429,-5333
-817,972
-945,5784
75,8090
686,7666
-229,5252
-2639,2354
-5399,593
-7016,888
-6682,3000
-4727,5657
-2384,7196
-1005,6568
-1344,3772
-2858,-158
-4362,-3892
-4474,-6452
-2559,-7700
799,-8181
3958,-8513
5258,-9127
3919,-9890
791,-10630
-1964,-11253
-2008,-11660
1967,-11838
9142,-11523
17101,-10481
22872,-8767
24375,-6772
21243,-5163
14809,-4354
7385,-4301
1187,-4505
-2350,-4254
-3025,-3118
-1714,-1250
189,784
1316,2339
1021,3113
-437,3106
-2307,2582
-3703,1685
-4234,447
-4098,-912
-3960,-1934
-4106,-1916
-4284,-517
-3767,2020
-2054,4841
676,6840
3392,7444
4763,6744
4006,5338
1423,3795
-1759,2107
-4031,-216
-4313,-3655
-2775,-7809
-522,-11324
1002,-12337
901,-9573
-782,-3384
-3064,4349
-4554,10844
-4234,13675
-1742,11904
2214,6278
6329,-1265
9207,-8484
9781,-13819
8138,-16568
5332,-16866
2834,-15318
1735,-12485
1999,-8847
2365,-4779
1212,-834
-2404,2466
-8032,4493
-13800,4979
-17513,4192
-17792,2864
-14731,1999
-9808,2419
-4848,4105
-1130,6365
1009,7941
1841,7525
2026,4537
1909,-456
1471,-6047
536,-10408
-833,-12135
-2305,-10885
-3234,-7379
-2961,-3047
-1311,688
1405,2906
4257,3450
6155,2821
6462,1788
5107,827
2783,-3
392,-1066
-1413,-2857
-2511,-5413
-3074,-8142
-3457,-9921
-3688,-9659
-3443,-6739
-2286,-1719
-125,3842
2650,7781
5162,8377
6507,5250
6233,-225
4577,-5648
2373,-8495
792,-7510
518,-3221
1712,2415
3627,6975
5153,8791
5405,7662
4282,4773
2588,1929
1545,706
2244,1403
4805,3155
8339,4269
11441,3374
12749,254
11706,-4050
8779,-7917
5216,-9980
2379,-10103
1054,-9209
1036,-8592
1536,-8874
1756,-9599
1471,-9560
1132,-7776
1527,-4395
2950,-591
4923,2099
6410,2710
6419,1269
4690,-1460
1869,-4748
-856,-8190
-2499,-11672
-2870,-14736
-2509,-16435
-2279,-15698
-2691,-12100
-3542,-6457
-4134,-615
-3813,3462
-2638,4824
-1385,3796
-1242,1791
-3127,-42
-6844,-1340
-11038,-2513
-13663,-4112
-12965,-6114
-8562,-7755
-1799,-8073
4861,-6560
8837,-3421
8798,574
5182,4556
-99,7857
-4680,9830
-6743,9770
-5745,7065
-2400,1860
1853,-4422
5664,-9276
8053,-10114
8656,-5915
7533,1935
5081,10140
1866,15235
-1254,15263
-3206,10884
-3167,4619
-831,-447
3288,-2381
8041,-829
12155,3102
14765,7762
15662,11762
15016,14139
13008,14551
9522,13006
4202,9880
-2707,5866
-9987,1871
-15485,-1250
-17022,-3037
-13595,-3627
-6329,-3655
1947,-3719
7992,-4109
9850,-4504
7758,-4348
3716,-3309
192,-1698
-1213,-368
-357,-191
1654,-1240
3417,-2626
3926,-2967
3109,-1319
1446,1973
-463,5179
-2102,6121
-3334,3223
-4188,-3200
-4575,-11182
-4364,-17857
-3490,-20832
-2154,-19183
-766,-13673
169,-6319
212,672
-574,5572
-1850,7658
-2913,7124
-3110,4718
-1987,1397
458,-1962
3843,-4665
7546,-6385
10985,-7011
13656,-6878
15228,-6407
15645,-5927
15099,-5278
14070,-3803
12968,-811
11680,3868
9521,9405
5580,14107
-413,16156
-7408,14627
-13035,10138
-14914,4540
-11900,188
-5052,-1558
2629,-708
7897,1449
8742,3202
5354,3442
-350,2147
-5961,222
-9643,-1247
-10887,-1594
-10220,-978
-8618,-101
-6918,302
-5677,-99
-5179,-1067
-5245,-2115
-5521,-2648
-5458,-2411
-4635,-1248
-3117,762
-1624,3462
-1136,6347
-2338,8645
-4931,9516
-7721,8264
-9222,4999
-8597,518
-6145,-3722
-2985,-6367
-420,-6765
948,-5131
1433,-2448
1809,233
2588,2102
3324,2936
2921,2897
445,2456
-4053,1960
-9135,1664
-12740,1702
-13075,1930
-9465,2043
-2710,1631
5467,384
12982,-1643
18063,-3861
19600,-5313
17346,-5226
11735,-3443
3902,-717
-4508,1700
-11682,2677
-16003,2006
-16545,597
-13411,-49
-7695,1174
-1028,4181
4943,7695
9152,9880
11148,9442
11032,6297
9191,1497
6010,-3408
2031,-7119
-2100,-8969
-5373,-8945
-6784,-7348
-5798,-4618
-2833,-1075
656,2986
2894,7110
2658,10800
-82,13338
-4039,14136
-7422,13000
-8958,10327
-8405,6832
-6659,3407
-4865,705
-3776,-1146
-3475,-2313
-3459,-3118
-3156,-3605
-2419,-3546
-1532,-2839
-805,-1802
-497,-1184
-572,-1742
-912,-3600
-1705,-6080
-3229,-7798
-5668,-7538
-8696,-4952
-11343,-784
-12575,3513
